btag|packed
101769693_493604|08-03~12,0 06-05~342,0 08-04~18,0 06-01~322,13 07-19~30,2 06-06~229,0 09-02~35,0 06-17~162,1 05-29~286,0 2026-07M~53,2 06-13~102,0 05-19~586,13 2026-08~938,40 07-27~12,0 08-08~7,0 08-13~38,0 05-30~215,8 08-18~27,7 07-23~8,0 07-22~99,6 08-30~7,0 05-31~102,0 08-17~8,0 06-04~203,2 06-21~10,0 08-20~18,0 07-14~93,2 2026-09~76,5 05-28~311,5 05-26~328,2 07-01~19,0 06-19~51,0 07-10~81,2 06-08~75,0 05-24~591,5 07-07~110,2 07-26~59,2 08-10~11,2 06-22~14,0 08-25~18,0 08-24~21,2 06-24~49,0 06-02~816,4 05-20~1099,8 06-25~23,0 06-30~13,0 07-28~42,0 07-30~54,10 06-28~6,0 08-16~12,0 08-26~144,0 06-18~84,2 07-02~34,2 2026-09M~76,5 06-14~82,3 05-15~844,18 05-18~570,10 08-11~6,0 08-19~9,0 09-01~41,5 2026-06~3833,57 05-23~1507,4 08-09~11,0 06-10~145,0 07-08~40,0 05-17~1503,24 06-20~40,0 05-25~396,0 2026-05~11703,145 07-03~118,0 08-07~10,0 all~18250,311 07-12~20,0 2026-08M~153,5 08-01~25,1 07-06~51,2 06-15~338,11 07-04~8,0 07-16~11,0 2026-06M~1138,17 05-16~1184,16 07-25~12,2 08-14~30,11 07-09~79,0 06-11~122,12 06-23~12,0 08-23~6,0 08-21~14,4 08-15~10,0 07-20~24,2 07-18~65,10 07-05~324,9 06-03~147,3 08-31~43,0 08-28~8,0 06-07~126,1 06-26~42,2 07-15~58,0 08-12~52,3 05-22~957,10 07-17~60,6 06-16~45,3 06-09~137,0 07-11~28,1 08-27~8,0 08-06~25,3 06-12~65,0 07-21~9,0 05-21~1067,17 2026-07~1700,64 08-02~128,4 08-05~8,0 06-29~31,0 07-31~17,0 08-22~199,3 07-13~34,0 08-29~5,0 05-27~157,5 07-29~101,4
101826048_472512|05-31~6,0 05-14~2,1 08-21~9,2 06-20~1,0 2026-06~7,0 2026-05~57,2 08-30~6,0 2026-09M~12,0 08-14~3,0 06-30~6,0 08-29~49,2 08-23~21,1 08-11~4,2 05-04~36,0 2026-08M~3,1 all~356,15 05-18~3,1 08-01~3,1 2026-09~12,0 08-28~3,1 07-06~8,0 05-27~10,0 08-08~119,0 07-26~45,3 07-22~6,1 2026-08~217,9 2026-07~63,4 09-01~12,0 07-11~4,0
103128376_486395|05-26~42,0 08-01~28,0 06-05~15,0 05-01~9,0 08-22~6,0 05-04~12,0 06-14~130,9 08-11~51,0 08-09~5,0 06-10~24,0 07-08~33,0 05-02~32,1 05-24~7,0 05-25~12,0 08-04~43,0 05-11~15,0 07-13~18,0 08-25~6,0 07-23~28,0 07-26~17,0 05-28~19,0 08-26~9,0 05-23~5,0 07-14~17,0 05-14~31,0 07-21~23,0 06-18~12,0 2026-09~61,0 08-13~15,0 05-27~16,0 07-03~9,0 07-17~9,0 07-30~20,0 06-28~14,7 all~3347,59 07-12~24,0 08-16~24,0 08-03~15,0 06-27~58,0 06-06~29,0 07-19~25,0 06-16~9,0 2026-05M~41,1 08-02~98,1 2026-09M~61,0 05-10~8,0 2026-08~802,8 07-15~52,3 08-24~29,0 08-18~29,0 09-02~23,0 08-10~25,0 08-21~7,0 2026-08M~126,1 07-29~18,1 05-03~51,0 06-30~38,0 07-28~13,0 05-08~18,1 08-31~46,1 05-30~161,3 08-28~68,0 07-07~77,4 06-24~24,1 06-09~47,0 07-11~22,0 08-29~15,0 07-06~67,0 2026-07M~43,0 07-27~28,0 06-29~19,0 07-31~14,0 05-18~26,1 07-22~22,0 07-24~19,0 08-15~5,0 06-12~11,0 07-20~33,0 05-20~11,0 07-10~75,1 06-08~18,0 06-22~11,0 08-20~9,0 06-15~64,6 08-12~23,0 06-07~11,0 2026-05~781,10 08-30~10,0 2026-06~808,30 2026-07~895,11 08-07~24,0 08-05~42,0 07-16~22,0 08-14~33,6 08-17~18,0 07-05~28,0 06-20~24,0 05-21~11,0 07-25~26,0 05-17~47,0 05-06~59,2 06-25~37,0 07-09~55,2 06-11~92,1 06-13~29,2 06-23~40,2 06-26~4,0 06-17~27,2 08-06~65,0 07-04~40,0 07-01~25,0 06-19~21,0 07-18~18,0 05-13~14,2 08-27~46,0 05-22~48,0 07-02~18,0 08-08~7,0 05-31~69,0 05-19~21,0 05-05~11,0 08-19~1,0 09-01~38,0 05-07~16,0 05-29~10,0
103157756_487754|06-22~288,3 05-26~7,0 08-26~141,3 07-20~4,0 07-19~4,1 06-27~145,3 08-28~279,0 06-06~6,0 08-18~569,13 08-09~8,2 06-15~313,6 06-09~273,3 07-11~23,0 06-10~69,3 07-08~179,4 07-02~209,0 09-02~14,0 05-19~19,0 08-08~111,4 2026-08~3545,108 07-14~49,0 06-30~179,0 07-28~73,0 07-10~55,0 06-08~22,1 05-15~16,2 05-04~1,0 07-30~52,3 06-28~81,0 2026-05~833,15 05-16~1,0 08-29~215,5 06-20~95,1 07-01~202,4 06-19~158,2 06-16~259,0 05-28~32,0 08-14~46,4 08-25~98,14 05-27~35,0 05-22~48,0 08-22~267,3 07-09~170,2 06-11~475,1 06-21~193,1 07-04~120,2 07-25~9,2 08-20~237,14 2026-05M~47,0 07-23~131,1 07-21~25,1 05-02~1,0 08-02~61,2 06-29~235,3 07-31~158,9 08-17~67,1 05-20~2,0 06-02~14,0 08-12~27,0 08-10~64,5 all~13261,286 05-05~13,0 08-13~3,3 05-12~33,3 06-12~586,7 07-13~46,0 2026-09M~92,0 07-27~82,2 08-11~11,0 07-12~21,0 07-07~78,1 07-05~204,3 06-18~140,1 08-19~148,5 09-01~78,0 07-24~122,20 06-14~327,8 08-16~97,9 05-25~7,1 07-18~26,2 2026-08M~89,4 06-17~160,0 05-29~15,0 08-31~256,6 2026-06~6203,84 08-21~156,7 08-01~28,2 08-27~128,0 2026-09~92,0 06-03~3,0 07-29~25,6 08-24~59,2 05-07~10,0 05-08~34,1 06-13~494,5 05-30~8,0 05-01~46,0 06-24~233,0 06-26~727,10 05-09~57,0 07-16~3,0 2026-07~2588,79 08-03~78,1 06-23~296,10 05-31~2,2 2026-07M~411,4 05-23~82,0 05-11~88,1 05-14~59,2 07-17~30,3 08-30~149,0 2026-06M~14,0 08-05~3,0 05-17~42,1 07-06~190,1 06-25~432,16 07-15~6,0 05-10~7,0 08-23~239,3 05-13~168,2 07-03~213,1 07-22~33,1 07-26~46,10
103157797_487755|06-21~12,0 06-30~16,0 2026-08~706,32 06-27~47,2 07-12~76,0 2026-08M~25,4 06-28~124,5 07-10~19,0 06-08~5,4 06-14~16,0 2026-09M~7,0 07-22~40,0 05-14~11,1 2026-06~426,36 08-05~32,4 08-04~4,0 07-05~14,0 06-25~39,3 05-10~19,0 05-31~25,0 05-02~2,0 08-16~4,0 05-21~59,4 08-24~19,3 05-13~8,0 07-06~11,0 07-02~48,0 06-23~7,0 05-22~64,28 08-30~81,1 07-20~1,0 05-20~99,1 2026-06M~15,0 07-11~38,1 05-28~147,103 05-19~44,1 07-27~34,3 all~2238,215 06-13~36,20 08-26~38,3 06-26~6,0 2026-09~7,0 08-18~7,0 06-19~26,0 2026-05M~2,0 07-18~19,0 08-13~82,4 08-17~5,0 05-17~3,0 08-02~2,0 07-23~2,2 05-23~7,0 06-03~53,0 07-08~89,0 07-04~25,1 06-02~15,0 06-29~7,0 08-15~150,0 2026-07M~48,0 05-29~54,0 08-01~23,4 05-26~98,1 08-27~23,0 09-02~7,0 08-29~232,13 2026-07~459,8 2026-05~640,139 07-03~24,0 08-03~4,0 06-20~17,2 07-16~15,0 07-21~1,1 07-09~3,0
103600904_493485|05-31~4,1 05-24~24,3 05-13~18,2 05-12~15,0 05-19~12,0 05-22~12,1 05-08~23,0 05-18~13,1 05-20~14,2 05-16~8,1 05-26~6,1 all~385,31 2026-06M~4,0 06-01~4,0 2026-06~4,0 05-21~18,2 05-15~35,0 05-10~16,0 05-07~20,0 05-23~15,1 05-29~17,3 05-30~8,1 05-17~5,2 05-14~19,0 05-28~10,2 05-09~20,4 05-25~25,2 2026-05~381,31 05-11~24,2
103972272_494526|06-02~8,3 05-25~18,0 05-26~3,0 2026-06M~8,3 05-23~8,3 2026-08~8,0 08-31~3,0 2026-07M~9,0 2026-07~9,0 06-26~36,0 06-03~2,0 05-14~54,1 05-21~27,2 05-22~342,0 2026-06~46,3 08-30~5,0 all~544,11 05-13~17,2 2026-05~481,8 05-30~2,0 07-01~9,0 05-20~10,0
104363979_485984|08-05~309,10 05-22~67,0 06-26~118,10 08-29~257,3 08-21~1,0 08-07~22,0 08-06~242,2 05-27~42,6 08-14~376,23 07-18~13,0 07-24~240,26 07-23~83,4 05-15~314,28 06-03~70,5 2026-07M~19,0 07-04~1,1 07-13~170,0 06-19~70,0 07-01~19,0 06-15~83,4 08-04~239,7 06-04~19,0 05-28~34,0 06-16~147,16 05-20~229,15 2026-08M~99,5 05-19~243,29 08-17~209,0 08-16~170,1 08-31~234,0 06-28~125,13 07-17~95,0 06-27~78,9 07-22~132,8 all~10526,531 05-21~141,4 06-24~119,0 07-25~257,5 06-06~26,0 07-21~244,7 06-02~57,7 07-26~4,0 08-20~133,0 06-05~137,8 08-18~234,2 05-12~182,16 08-13~117,2 06-18~185,7 05-18~159,9 07-27~54,1 05-14~148,14 07-31~78,2 06-29~131,22 08-03~39,3 2026-05~2132,150 09-02~40,1 07-12~4,2 05-13~281,18 07-28~212,4 06-30~76,0 07-16~180,1 07-19~20,0 05-24~184,8 07-11~4,0 06-09~3,0 08-02~64,2 07-29~90,4 06-23~230,27 2026-07~2359,168 2026-09~447,10 09-01~407,9 08-19~111,0 06-17~76,2 2026-08~3838,73 08-11~184,0 05-25~108,3 2026-06M~57,7 2026-06~1750,130 08-30~442,7 07-15~137,11 08-01~35,3 08-12~173,0 08-15~247,8 2026-09M~447,10 07-20~322,92
104492471_494694|07-25~35,3 05-23~56,1 2026-06M~202,1 07-04~88,0 05-27~240,4 06-15~145,1 05-20~752,35 08-07~4,0 07-24~63,1 08-03~79,1 05-31~262,0 2026-05~6043,151 07-17~101,0 07-27~21,0 08-20~4,0 08-23~57,0 05-19~760,2 08-28~55,0 all~12279,255 06-16~92,0 06-14~24,0 2026-07~1148,20 07-21~18,2 06-17~129,0 05-22~715,15 06-27~297,0 07-20~12,0 08-26~54,4 09-01~5,0 08-19~6,0 08-08~9,0 06-25~54,2 08-24~32,2 06-23~26,3 08-12~4,0 07-16~25,0 2026-09M~5,0 06-19~572,4 07-01~45,1 06-22~132,1 08-02~29,1 06-08~381,6 07-10~99,0 06-02~130,1 05-18~530,18 07-12~13,0 07-31~7,1 06-29~119,3 08-21~4,0 05-24~84,0 06-06~45,0 05-16~448,9 08-09~7,0 07-08~42,0 06-10~380,10 06-28~65,5 07-30~44,4 07-26~35,0 2026-06~4217,75 08-11~5,0 06-20~30,0 06-05~255,3 2026-08~866,9 07-29~18,2 06-24~29,1 06-03~45,2 08-22~30,0 2026-07M~82,1 06-12~144,5 07-03~85,1 06-26~42,0 06-18~79,1 08-15~5,0 07-02~37,0 08-17~35,0 07-13~73,0 08-13~19,0 08-25~13,0 07-22~4,1 08-04~25,0 06-21~67,2 05-10~222,8 07-07~28,2 05-28~106,1 06-11~283,1 07-09~2,0 07-14~45,0 07-28~4,0 06-30~6,0 08-27~75,0 08-16~39,1 05-14~20,0 08-06~6,0 05-26~290,0 08-14~123,0 05-25~72,0 08-31~73,0 05-21~1108,38 07-05~99,2 07-11~63,0 06-09~93,1 08-05~9,0 06-04~406,21 07-06~9,0 2026-08M~82,1 05-29~302,20 05-30~52,0 2026-09~5,0 06-13~66,2 08-18~12,0 06-07~9,0 08-01~53,0 07-19~5,0 06-01~72,0 05-17~24,0 07-15~28,0
104601415_487606|06-11~8,0 2026-06~504,9 2026-08~245,8 08-28~4,0 07-11~49,1 06-09~12,0 05-20~3,0 all~1143,25 08-16~6,0 08-24~139,3 05-13~6,0 07-24~4,0 06-04~1,0 05-04~1,0 08-18~59,1 05-31~36,0 06-25~3,1 2026-05~226,2 05-21~2,0 07-05~26,1 05-06~66,0 07-23~33,2 06-02~340,8 05-03~19,2 05-16~68,0 08-01~20,4 08-02~17,0 07-06~50,2 2026-06M~435,8 07-20~6,0 06-22~6,0 06-27~14,0 06-08~13,0 05-22~25,0 2026-07~168,6 06-01~95,0 2026-08M~37,4 06-05~8,0 06-30~4,0
