c|packed
Djibouti|05-09~1,0,0,0,0 07-29~2,0,0,0,0 2026-06~2,0,0,0,0 06-28~1,0,0,0,0 2026-07~3,1,1,1,0 07-15~1,1,1,1,0 all~6,1,1,1,0 2026-05~1,0,0,0,0 06-05~1,0,0,0,0
Dominica|07-25~1,0,0,0,0 06-14~1,0,0,0,0 06-11~1,0,0,0,0 all~3,0,0,0,0 06-16~1,0,0,0,0 06-25~1,0,0,0,0 06-13~1,0,0,0,0 07-29~1,0,0,0,0 06-21~1,0,0,0,0 2026-07~3,0,0,0,0 06-15~1,0,0,0,0 07-19~1,0,0,0,0 2026-06~1,0,0,0,0
Dominican Republic|07-08~2,0,0,0,0 08-28~1,0,0,0,0 05-15~1,0,0,0,0 06-17~2,0,0,0,0 05-19~1,0,0,0,0 05-23~1,0,0,0,0 2026-06~28,9,2,2,0 07-20~3,0,0,0,0 06-06~2,1,0,0,0 05-08~1,0,0,0,0 08-14~3,0,0,0,0 07-03~2,0,0,0,0 05-04~1,0,0,0,0 06-15~1,0,0,0,0 09-02~2,0,0,0,0 06-01~2,0,0,0,0 2026-06M~2,0,0,0,0 08-10~2,0,0,0,0 07-07~3,0,0,0,0 06-04~1,1,1,1,0 07-25~1,0,0,0,0 all~105,19,7,6,0 07-29~5,0,0,0,0 05-13~1,0,0,0,0 05-02~1,0,0,0,0 08-23~1,0,0,0,0 08-20~1,0,0,0,0 08-17~3,0,0,0,0 05-16~2,1,0,0,0 06-18~1,0,0,0,0 05-24~1,0,0,0,0 06-16~4,2,0,0,0 09-01~2,1,1,1,0 05-18~1,0,0,0,0 05-07~1,0,0,0,0 06-09~1,0,0,0,0 2026-05~7,3,1,0,0 06-25~1,0,0,0,0 07-31~2,0,0,0,0 08-26~1,0,0,0,0 05-21~1,0,0,0,0 06-07~1,0,0,0,0 05-09~1,0,0,0,0 08-02~2,1,0,0,0 07-15~2,0,0,0,0 06-26~5,3,1,1,0 05-28~1,0,0,0,0 05-26~1,0,0,0,0 06-28~1,0,0,0,0 06-10~3,1,0,0,0 07-05~1,0,0,0,0 08-12~4,0,0,0,0 06-03~1,0,0,0,0 06-05~1,0,0,0,0 07-02~1,0,0,0,0 08-15~2,0,0,0,0 06-23~2,0,0,0,0 05-11~1,0,0,0,0 05-30~2,1,1,0,0 08-21~1,0,0,0,0 07-24~2,0,0,0,0 07-28~1,0,0,0,0 06-21~2,0,0,0,0 07-10~1,0,0,0,0 08-07~6,0,0,0,0 07-09~1,0,0,0,0 07-18~2,0,0,0,0 06-22~1,0,0,0,0 05-03~3,1,0,0,0 05-14~1,0,0,0,0 08-24~2,0,0,0,0 06-13~1,0,0,0,0 06-24~3,0,0,0,0 06-11~2,0,0,0,0 2026-07~30,3,1,1,0 05-10~2,0,0,0,0 07-06~1,0,0,0,0 08-11~2,1,1,1,0 2026-07M~1,0,0,0,0 05-06~1,0,0,0,0 06-08~1,0,0,0,0 06-27~2,0,0,0,0 05-29~1,0,0,0,0 06-30~2,0,0,0,0 05-20~1,0,0,0,0 06-20~2,0,0,0,0 2026-05M~3,0,0,0,0 05-27~1,0,0,0,0 06-29~3,1,0,0,0 08-19~2,0,0,0,0 08-25~2,0,0,0,0 07-22~2,0,0,0,0 07-17~4,1,0,0,0 08-01~3,0,0,0,0 07-16~1,0,0,0,0 07-01~1,0,0,0,0 08-16~3,0,0,0,0 07-19~1,0,0,0,0 05-01~3,0,0,0,0 06-14~4,0,0,0,0 06-12~2,0,0,0,0 07-27~1,0,0,0,0 08-30~3,0,0,0,0 05-05~1,0,0,0,0 08-22~1,0,0,0,0 08-27~1,0,0,0,0 07-30~3,0,0,0,0 2026-08M~4,1,0,0,0 07-13~1,0,0,0,0 08-04~2,0,0,0,0 08-05~1,0,0,0,0 07-12~3,0,0,0,0 08-18~2,0,0,0,0 08-06~1,0,0,0,0 07-11~1,0,0,0,0 2026-09~3,1,1,1,0 05-25~1,0,0,0,0 2026-08~44,3,2,2,0 08-31~1,0,0,0,0 07-26~2,0,0,0,0 05-22~1,0,0,0,0 08-09~15,1,1,1,0 07-21~3,0,0,0,0 06-02~1,0,0,0,0 07-14~3,1,0,0,0 08-03~2,0,0,0,0 05-17~1,0,0,0,0 08-13~1,0,0,0,0 07-04~2,1,1,1,0 08-08~2,0,0,0,0 2026-09M~3,1,1,1,0 se~354,588,80,10.2,2.41
Ecuador|06-06~118,20,12,7,0 07-24~20,3,0,0,0 07-03~169,10,6,5,0 05-29~77,21,14,3,0 06-22~60,4,2,1,0 07-25~20,2,0,0,0 08-26~4,0,0,0,0 07-22~34,15,1,1,0 07-02~404,8,3,1,0 2026-08M~27,7,3,1,0 07-16~8,1,1,0,0 08-13~42,21,10,5,0 08-02~10,3,1,0,0 08-18~5,0,0,0,0 06-05~165,15,10,6,0 07-18~16,4,0,0,0 05-15~16,2,1,0,0 06-12~194,5,1,1,0 07-11~17,3,1,1,0 06-09~153,7,6,3,0 07-21~26,10,0,0,0 05-23~26,6,4,3,0 06-03~65,16,11,3,0 08-23~4,0,0,0,0 05-11~10,1,0,0,0 08-15~10,2,0,0,0 07-20~18,8,0,0,0 06-19~84,6,5,2,0 07-01~240,5,3,2,0 07-27~12,4,1,0,0 05-14~12,1,1,0,0 05-28~115,39,29,19,0 08-01~21,4,2,1,0 08-10~78,1,0,0,0 06-28~94,14,9,5,0 07-30~10,0,0,0,0 05-19~16,5,3,3,0 06-27~142,10,9,5,0 06-18~54,2,2,1,0 05-31~83,20,12,5,0 08-30~6,3,0,0,0 2026-07~1639,124,44,25,0 05-27~64,15,10,5,0 07-08~165,4,3,0,0 06-10~182,9,6,4,0 2026-09M~5,0,0,0,0 05-16~15,0,0,0,0 05-18~12,2,2,2,0 08-07~27,5,2,0,0 05-04~17,4,0,0,0 06-08~91,14,9,2,0 07-10~12,1,0,0,0 07-05~208,6,1,1,0 2026-05M~42,9,0,0,0 09-02~2,0,0,0,0 08-08~75,3,2,2,0 08-22~5,0,0,0,0 2026-09~5,0,0,0,0 07-13~18,6,3,2,0 05-03~24,4,0,0,0 07-17~21,4,0,0,0 08-14~4,0,0,0,0 07-06~158,7,2,2,0 05-25~21,9,5,1,0 08-04~19,6,3,2,0 07-29~22,4,3,2,0 07-28~26,7,5,3,0 06-30~195,12,7,4,1 07-31~22,5,3,1,0 06-29~59,3,1,0,0 09-01~5,0,0,0,0 08-19~4,0,0,0,0 08-06~8,4,2,1,0 08-09~32,0,0,0,0 05-17~17,2,2,1,0 07-26~16,2,0,0,0 06-15~74,8,6,2,0 08-11~47,1,1,0,0 06-14~74,0,0,0,0 06-16~54,3,2,2,0 2026-05~600,190,106,63,0 07-07~398,7,5,2,0 07-04~256,2,1,0,0 08-25~4,0,0,0,0 07-15~11,1,1,1,0 05-02~25,6,0,0,0 2026-06~2974,268,169,95,2 08-24~3,1,0,0,0 05-05~16,1,0,0,0 05-21~6,1,0,0,0 05-09~8,2,0,0,0 06-13~102,3,2,0,0 05-26~2,0,0,0,0 07-23~27,9,0,0,0 06-02~78,16,12,4,0 05-10~10,4,0,0,0 08-31~1,0,0,0,0 05-22~22,7,4,2,0 05-13~9,0,0,0,0 08-16~4,1,1,1,0 08-03~21,5,2,0,0 06-04~192,13,8,4,0 08-05~8,3,1,0,0 05-30~57,16,11,8,0 08-28~6,0,0,0,0 06-20~93,11,6,5,1 08-21~6,1,1,0,0 08-12~25,9,2,1,0 2026-07M~591,13,6,3,0 05-24~22,11,7,6,0 06-17~79,6,3,3,0 2026-06M~146,35,22,13,0 06-23~103,5,2,2,0 05-07~6,2,0,0,0 06-26~96,10,5,3,0 05-20~22,2,1,1,0 06-11~360,13,8,4,0 07-09~10,2,0,0,0 06-07~132,11,5,3,0 07-19~17,5,1,0,0 06-01~74,19,10,9,0 06-24~154,9,4,3,0 05-12~12,2,0,0,0 all~5086,624,349,203,4 08-17~3,1,0,0,0 06-21~91,5,3,2,0 06-25~114,3,3,1,0 08-20~7,1,1,0,0 07-12~16,1,1,0,0 08-29~4,0,0,0,0 05-06~11,1,0,0,0 07-14~12,3,0,0,0 08-27~3,0,0,0,0 2026-08~321,70,31,13,0 05-01~22,3,0,0,0 05-08~10,4,0,0,0 sr~5109,855 se~9154,324,10,22.2,2.72
Egypt|06-25~6,0,0,0,0 06-06~4,1,1,1,0 08-12~8,2,1,1,1 07-07~10,1,1,0,0 05-30~2,0,0,0,0 2026-07M~38,17,12,1,0 08-21~14,1,1,0,0 08-05~9,2,0,0,0 07-18~5,0,0,0,0 05-24~6,0,0,0,0 05-28~3,0,0,0,0 2026-09~11,1,0,0,0 05-23~8,5,2,0,0 08-26~7,0,0,0,0 08-25~5,0,0,0,0 06-08~4,1,0,0,0 07-10~2,0,0,0,0 2026-08M~11,0,0,0,0 08-18~11,1,1,0,0 05-26~4,1,0,0,0 05-18~1,1,1,1,0 08-01~6,0,0,0,0 05-14~2,0,0,0,0 08-14~20,0,0,0,0 05-31~4,0,0,0,0 05-07~2,0,0,0,0 05-04~1,0,0,0,0 08-13~13,2,2,0,0 06-18~7,1,1,1,0 08-02~9,0,0,0,0 05-11~3,0,0,0,0 05-08~4,1,0,0,0 08-22~9,1,0,0,0 07-19~4,0,0,0,0 06-01~5,0,0,0,0 08-15~11,1,0,0,0 07-11~2,0,0,0,0 06-09~2,0,0,0,0 06-17~2,0,0,0,0 05-02~4,1,0,0,0 07-05~8,0,0,0,0 06-07~4,0,0,0,0 05-25~4,2,2,0,0 06-14~5,1,1,1,0 08-23~9,0,0,0,0 07-27~3,0,0,0,0 07-02~8,1,0,0,0 05-17~2,0,0,0,0 06-28~16,4,2,0,0 07-30~6,0,0,0,0 05-21~5,1,1,0,0 05-27~3,0,0,0,0 06-11~8,0,0,0,0 07-09~7,0,0,0,0 08-10~5,1,1,0,0 06-02~2,0,0,0,0 05-05~1,0,0,0,0 05-19~1,1,0,0,0 07-13~5,2,2,2,2 05-15~2,1,0,0,0 06-13~6,0,0,0,0 06-24~11,0,0,0,0 07-20~8,2,1,0,0 07-23~6,0,0,0,0 07-08~15,3,1,1,1 06-10~7,0,0,0,0 all~386,106,71,26,8 08-17~10,3,1,0,0 2026-05~52,17,7,2,0 08-07~7,0,0,0,0 06-16~8,1,1,0,0 05-22~2,1,1,1,0 2026-08~85,18,10,3,1 08-04~4,0,0,0,0 07-12~4,1,0,0,0 06-27~18,6,5,3,1 06-15~6,0,0,0,0 07-14~3,0,0,0,0 08-06~5,0,0,0,0 07-04~5,1,0,0,0 06-05~4,0,0,0,0 06-12~7,0,0,0,0 08-09~10,1,1,0,0 07-03~9,0,0,0,0 06-23~6,2,1,0,0 05-01~3,0,0,0,0 05-09~4,1,0,0,0 2026-09M~11,1,0,0,0 09-02~9,1,0,0,0 08-30~8,0,0,0,0 06-26~14,3,2,1,0 08-20~13,0,0,0,0 09-01~5,0,0,0,0 08-19~7,1,1,1,0 07-22~3,0,0,0,0 08-28~8,1,1,1,0 07-17~7,1,0,0,0 2026-07~119,32,22,6,3 08-27~9,0,0,0,0 05-13~5,1,0,0,0 06-03~7,1,1,0,0 08-03~5,0,0,0,0 05-29~3,0,0,0,0 08-16~15,1,1,0,0 05-06~2,1,0,0,0 05-03~3,0,0,0,0 07-28~4,1,1,1,0 06-30~30,14,12,2,1 07-29~15,2,2,0,0 08-08~8,0,0,0,0 06-22~18,1,1,0,0 07-21~5,1,0,0,0 07-26~5,1,1,0,0 08-29~4,0,0,0,0 07-16~7,1,1,0,0 2026-06~172,41,32,12,2 06-19~21,1,1,1,0 07-01~32,16,12,1,0 07-06~6,0,0,0,0 05-16~3,0,0,0,0 05-12~1,0,0,0,0 07-25~3,0,0,0,0 08-31~7,0,0,0,0 05-10~4,0,0,0,0 2026-05M~6,1,0,0,0 08-11~4,0,0,0,0 2026-06M~6,0,0,0,0 05-20~3,0,0,0,0 06-04~7,3,1,0,0 06-21~7,1,1,1,0 07-31~4,0,0,0,0 06-29~13,1,1,1,0 07-24~3,0,0,0,0 06-20~7,0,0,0,0 08-24~11,1,0,0,0 07-15~4,0,0,0,0 sr~418,245 se~1350,438,52,14.9,3.24
El Salvador|06-20~2,0,0,0,0 08-27~2,0,0,0,0 2026-06~47,17,10,8,0 07-02~2,0,0,0,0 08-16~1,0,0,0,0 06-15~1,0,0,0,0 07-28~1,0,0,0,0 2026-05~13,8,0,0,0 05-12~1,0,0,0,0 09-02~1,0,0,0,0 05-07~1,0,0,0,0 06-28~5,2,1,0,0 06-18~3,1,1,0,0 08-20~7,0,0,0,0 05-11~3,1,0,0,0 05-31~2,0,0,0,0 07-03~1,0,0,0,0 06-27~3,0,0,0,0 06-09~2,0,0,0,0 05-30~1,0,0,0,0 08-07~1,0,0,0,0 08-22~4,0,0,0,0 06-10~2,0,0,0,0 09-01~1,0,0,0,0 08-10~2,0,0,0,0 2026-08M~2,1,1,1,0 2026-06M~1,1,0,0,0 08-17~5,1,1,1,0 05-03~1,0,0,0,0 06-29~7,5,1,1,0 07-09~1,0,0,0,0 2026-05M~2,0,0,0,0 2026-09M~2,0,0,0,0 07-12~1,0,0,0,0 08-28~3,1,0,0,0 05-04~1,1,0,0,0 06-13~3,0,0,0,0 06-22~1,1,1,1,0 06-11~2,0,0,0,0 07-08~1,0,0,0,0 07-29~2,1,1,1,0 08-24~2,1,1,1,0 07-07~1,0,0,0,0 2026-09~2,0,0,0,0 2026-08~38,4,3,3,0 07-19~2,0,0,0,0 08-23~1,0,0,0,0 07-21~1,0,0,0,0 2026-07M~6,0,0,0,0 06-25~4,1,1,1,0 05-09~3,3,0,0,0 2026-07~18,1,1,1,0 06-23~1,0,0,0,0 06-26~10,5,4,3,0 08-02~2,1,1,1,0 06-01~1,1,0,0,0 all~102,30,14,12,0 06-14~1,0,0,0,0 06-12~2,0,0,0,0 05-18~1,0,0,0,0 07-01~4,0,0,0,0 05-10~5,3,0,0,0 05-05~1,0,0,0,0 05-13~1,0,0,0,0 08-09~4,0,0,0,0 07-20~1,0,0,0,0 05-08~1,0,0,0,0 07-30~2,0,0,0,0 08-06~1,0,0,0,0 08-21~1,0,0,0,0 08-26~1,0,0,0,0 05-28~2,0,0,0,0 05-22~1,0,0,0,0 05-02~2,0,0,0,0 06-30~5,2,1,1,0 07-06~1,0,0,0,0 08-19~2,0,0,0,0 08-11~3,0,0,0,0 08-18~2,0,0,0,0
Equatorial Guinea|06-13~7,1,0,0,0 06-12~10,1,0,0,0 06-14~5,0,0,0,0 06-25~1,0,0,0,0 all~44,3,0,0,0 06-11~23,1,0,0,0 2026-06~44,3,0,0,0
Estonia|06-18~6,0,0,0,0 2026-06~52,9,5,4,2 06-22~5,1,0,0,0 06-05~7,0,0,0,0 08-29~8,3,1,1,1 07-29~16,1,0,0,0 08-12~10,0,0,0,0 07-24~6,0,0,0,0 06-23~5,1,0,0,0 08-15~5,0,0,0,0 08-28~8,1,1,1,0 06-30~14,1,1,1,0 07-28~17,1,1,1,1 05-12~3,0,0,0,0 06-24~6,0,0,0,0 05-04~3,0,0,0,0 05-20~5,0,0,0,0 08-01~14,0,0,0,0 06-04~3,0,0,0,0 06-10~7,0,0,0,0 07-08~6,0,0,0,0 06-29~8,0,0,0,0 07-31~15,2,0,0,0 08-06~7,0,0,0,0 07-03~7,1,0,0,0 05-03~6,0,0,0,0 07-06~6,1,0,0,0 07-14~6,2,1,0,0 06-17~8,1,0,0,0 06-27~8,0,0,0,0 08-03~12,1,0,0,0 07-05~3,0,0,0,0 05-24~3,0,0,0,0 08-31~5,2,1,1,0 2026-09M~10,1,1,0,0 05-31~6,1,1,1,0 08-14~6,1,0,0,0 05-28~3,0,0,0,0 06-26~7,1,1,1,1 08-22~6,0,0,0,0 08-21~5,1,1,1,0 06-07~1,0,0,0,0 06-21~7,0,0,0,0 08-11~11,0,0,0,0 05-27~2,1,0,0,0 05-07~4,0,0,0,0 07-21~7,1,0,0,0 06-06~4,0,0,0,0 05-30~6,0,0,0,0 2026-07~102,21,10,5,2 05-13~6,0,0,0,0 08-27~5,0,0,0,0 07-16~7,1,1,0,0 05-08~4,0,0,0,0 05-06~2,0,0,0,0 08-19~6,0,0,0,0 09-01~8,0,0,0,0 06-16~6,0,0,0,0 06-03~3,0,0,0,0 08-04~16,0,0,0,0 08-02~11,0,0,0,0 08-16~6,1,0,0,0 08-20~6,1,0,0,0 2026-05M~4,0,0,0,0 08-30~3,0,0,0,0 06-15~9,0,0,0,0 all~286,49,26,18,9 07-09~4,0,0,0,0 06-11~8,0,0,0,0 08-13~7,0,0,0,0 05-22~5,0,0,0,0 07-18~7,1,1,0,0 08-25~4,0,0,0,0 09-02~6,1,1,0,0 08-07~9,1,1,0,0 05-21~6,0,0,0,0 08-18~7,0,0,0,0 08-17~7,0,0,0,0 05-09~3,0,0,0,0 06-20~9,2,2,1,0 07-13~3,0,0,0,0 07-12~6,0,0,0,0 07-10~5,0,0,0,0 06-08~4,0,0,0,0 07-30~19,1,1,1,1 06-28~4,0,0,0,0 05-23~2,0,0,0,0 06-01~3,0,0,0,0 07-19~2,0,0,0,0 06-02~4,0,0,0,0 08-24~8,0,0,0,0 06-13~7,1,1,1,1 05-15~6,1,1,1,1 05-17~4,0,0,0,0 07-15~5,1,1,1,0 06-25~6,0,0,0,0 07-04~10,0,0,0,0 2026-08M~24,0,0,0,0 05-05~5,0,0,0,0 08-08~8,0,0,0,0 07-02~8,2,2,1,0 05-02~3,0,0,0,0 05-29~2,0,0,0,0 07-26~7,2,1,1,0 05-26~4,0,0,0,0 05-11~4,0,0,0,0 2026-09~10,1,1,0,0 08-23~4,0,0,0,0 08-26~9,1,1,0,0 05-25~3,0,0,0,0 06-09~5,0,0,0,0 07-11~3,0,0,0,0 07-25~6,1,0,0,0 05-19~4,0,0,0,0 07-20~8,1,0,0,0 07-17~5,0,0,0,0 07-01~5,0,0,0,0 06-19~3,0,0,0,0 07-07~8,1,0,0,0 07-22~6,0,0,0,0 08-09~15,1,0,0,0 07-27~14,2,1,0,0 07-23~5,0,0,0,0 2026-05~30,4,2,2,1 06-14~6,1,0,0,0 2026-08~141,18,8,6,3 05-18~5,0,0,0,0 05-14~4,1,0,0,0 06-12~7,0,0,0,0 08-05~8,0,0,0,0 2026-06M~5,0,0,0,0 08-10~15,4,2,2,2 2026-07M~9,2,2,1,0 05-01~4,0,0,0,0 05-16~8,0,0,0,0 05-10~3,0,0,0,0 sr~397,313 se~1409,867,102,11.6,3.96
Eswatini|06-15~1,0,0,0,0 2026-05~2,0,0,0,0 05-07~1,0,0,0,0 06-02~1,0,0,0,0 05-24~1,0,0,0,0 2026-06~5,1,1,0,0 05-01~2,0,0,0,0 05-08~1,0,0,0,0 07-15~1,0,0,0,0 2026-05M~2,0,0,0,0 07-01~2,1,0,0,0 all~10,2,1,0,0 05-04~1,0,0,0,0 2026-07~3,1,0,0,0 05-03~1,0,0,0,0 06-30~2,1,1,0,0 05-10~1,0,0,0,0 05-09~1,0,0,0,0 2026-07M~2,1,0,0,0 06-28~1,0,0,0,0 2026-08~1,0,0,0,0 08-11~1,0,0,0,0 06-04~1,0,0,0,0 05-16~1,0,0,0,0 2026-06M~1,0,0,0,0
Ethiopia|07-01~21,1,1,1,0 06-19~16,4,3,2,0 07-22~10,1,1,0,0 05-30~13,0,0,0,0 05-07~14,1,0,0,0 06-23~17,1,0,0,0 2026-07~169,63,40,25,1 05-31~7,0,0,0,0 2026-08M~17,2,2,0,0 05-21~10,2,0,0,0 2026-09M~44,11,7,3,3 07-24~10,1,1,1,0 05-18~9,0,0,0,0 06-12~22,1,1,1,0 05-14~11,2,1,1,0 05-05~13,1,0,0,0 09-02~34,8,6,2,2 08-19~21,0,0,0,0 09-01~30,3,1,1,1 08-12~16,1,1,1,0 06-16~11,0,0,0,0 08-24~24,2,0,0,0 05-24~16,0,0,0,0 08-16~19,2,1,1,0 05-28~14,2,0,0,0 08-28~18,2,2,2,2 2026-06~123,47,24,17,3 08-31~35,6,4,3,1 05-12~6,0,0,0,0 07-09~13,1,0,0,0 06-11~16,1,1,0,0 05-08~17,3,0,0,0 08-13~20,1,1,1,0 2026-07M~26,1,1,1,0 06-24~22,4,4,3,0 05-06~11,1,0,0,0 05-17~20,3,3,2,0 07-25~5,0,0,0,0 08-29~22,3,3,3,1 08-20~21,1,1,0,0 06-21~15,2,1,1,0 07-23~12,3,3,3,0 05-19~10,1,0,0,0 07-12~11,0,0,0,0 07-30~13,0,0,0,0 06-28~21,4,2,2,0 08-11~17,2,0,0,0 06-03~8,0,0,0,0 06-26~22,4,1,1,0 08-03~12,1,0,0,0 06-14~13,2,2,1,0 06-13~19,1,0,0,0 07-26~7,0,0,0,0 05-25~11,0,0,0,0 05-29~13,0,0,0,0 07-17~8,1,0,0,0 08-04~15,2,2,0,0 06-18~19,5,3,1,0 06-04~13,1,1,1,0 06-07~5,0,0,0,0 05-13~9,1,1,1,0 08-22~24,5,4,1,1 2026-08~121,56,41,29,13 05-03~13,0,0,0,0 05-01~14,1,0,0,0 2026-05~105,32,9,6,0 06-17~14,0,0,0,0 08-10~9,1,1,1,0 07-03~13,1,1,0,0 05-16~13,2,0,0,0 06-29~21,3,0,0,0 07-31~12,3,3,1,0 06-30~25,4,1,1,0 07-28~9,1,1,1,0 06-20~13,0,0,0,0 07-21~10,2,1,1,0 06-27~21,4,1,1,0 05-22~15,3,1,0,0 07-07~13,2,2,0,0 08-05~13,0,0,0,0 05-23~13,2,1,1,0 08-02~13,1,1,0,0 08-26~29,6,3,1,0 07-10~9,1,1,0,0 06-08~8,0,0,0,0 06-09~12,1,1,1,1 07-11~9,0,0,0,0 08-21~27,5,4,3,2 08-17~21,0,0,0,0 06-10~23,5,3,1,0 07-08~12,2,1,0,0 07-02~14,0,0,0,0 08-25~18,5,3,2,2 06-06~7,1,0,0,0 08-14~18,2,1,1,0 05-11~8,1,0,0,0 05-04~11,0,0,0,0 2026-09~44,11,7,3,3 05-02~14,0,0,0,0 08-30~17,0,0,0,0 07-27~5,0,0,0,0 2026-06M~13,2,0,0,0 05-26~8,0,0,0,0 05-15~14,1,0,0,0 08-08~10,1,1,1,0 08-23~29,3,3,1,1 07-14~15,1,0,0,0 07-15~8,0,0,0,0 07-06~15,2,1,0,0 06-05~9,0,0,0,0 08-27~20,1,0,0,0 07-16~10,1,1,1,0 06-02~8,1,0,0,0 08-15~21,2,2,1,0 all~421,198,120,83,23 05-10~11,1,0,0,0 06-25~16,1,0,0,0 05-27~8,1,0,0,0 06-22~13,0,0,0,0 06-01~11,1,0,0,0 07-19~10,0,0,0,0 08-07~11,1,1,1,0 08-01~13,1,1,0,0 05-20~13,5,2,1,0 07-20~7,0,0,0,0 07-05~8,0,0,0,0 07-13~13,2,1,0,0 05-09~16,0,0,0,0 06-15~16,0,0,0,0 07-18~8,1,0,0,0 08-06~12,1,0,0,0 07-04~19,1,0,0,0 08-18~19,1,0,0,0 2026-05M~19,1,0,0,0 08-09~11,1,1,0,0 07-29~89,35,21,16,1 sr~427,216 se~4099,765,150,5.4,4.27
Faroe Islands|05-21~1,0,0,0,0 05-02~1,0,0,0,0 05-04~1,0,0,0,0 08-07~1,0,0,0,0 05-29~1,0,0,0,0 all~7,2,2,1,0 05-05~1,0,0,0,0 05-13~1,0,0,0,0 05-19~1,0,0,0,0 05-03~1,0,0,0,0 2026-05M~1,0,0,0,0 05-10~1,0,0,0,0 2026-06~2,1,1,0,0 05-15~1,0,0,0,0 05-06~1,0,0,0,0 06-01~1,0,0,0,0 07-09~1,1,1,1,0 05-17~2,0,0,0,0 05-20~1,0,0,0,0 2026-06M~1,0,0,0,0 05-14~1,0,0,0,0 06-04~1,0,0,0,0 08-16~1,0,0,0,0 05-12~1,0,0,0,0 2026-05~3,0,0,0,0 05-23~2,0,0,0,0 05-11~1,0,0,0,0 05-08~1,0,0,0,0 05-18~1,0,0,0,0 05-01~1,0,0,0,0 05-16~1,0,0,0,0 05-27~1,0,0,0,0 05-30~1,0,0,0,0 05-31~1,0,0,0,0 05-28~1,0,0,0,0 2026-08~2,0,0,0,0 05-22~1,0,0,0,0 06-17~1,1,1,0,0 05-07~1,0,0,0,0 05-26~1,0,0,0,0 05-25~1,0,0,0,0 2026-07~1,1,1,1,0 05-24~1,0,0,0,0 05-09~1,0,0,0,0 se~258,2028,911,1.2,11.84
Fiji|06-11~1,0,0,0,0 06-25~1,1,1,0,0 06-27~2,0,0,0,0 2026-06M~1,0,0,0,0 06-02~1,0,0,0,0 all~7,1,1,0,0 2026-06~7,1,1,0,0 06-14~2,0,0,0,0
