btag|paths|landing|packed
101575715_493605|5|00000002:/de/special-bonus/up-to-200 00000002:/es/special-bonus/up-to-200 00000002:/fr/special-bonus/up-to-200 00000006:/special-bonus/up-to-200 00000095:/pt/special-bonus/up-to-200|06-03~1,1,1,1,1 06-02~1,1,0,0,0 05-31~2,1,0,0,0 07-21~2,2,0,0,0 05-19~7,6,2,1,1 06-04~5,4,0,0,0 05-17~10,10,8,7,6 05-20~22,22,17,7,5 05-25~15,15,7,5,4 06-01~1,1,0,0,0 06-07~1,1,0,0,0 05-27~2,2,0,0,0 05-22~11,11,8,6,5 06-06~2,2,0,0,0 05-26~3,3,2,1,1 05-18~18,18,7,4,4 05-21~9,9,2,0,0 05-23~4,4,2,1,0 05-28~2,2,0,0,0 05-24~12,12,9,5,2 05-29~2,2,0,0,0 05-16~9,9,7,3,3 all~107,106,74,47,42
101575747_470737|4|00000001:/fr/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000003:/es/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000005:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000099:/pt/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|06-10~1,1,0,0,0 05-31~1,1,0,0,0 07-11~5,4,4,4,4 07-24~9,8,5,4,4 08-03~2,0,0,0,0 07-21~4,4,1,0,0 07-12~7,6,2,2,2 07-16~9,8,7,4,4 07-19~6,5,0,0,0 07-29~4,4,0,0,0 07-22~12,12,8,6,6 07-14~7,5,2,2,1 07-25~3,2,0,0,0 07-20~21,20,5,4,4 07-13~8,8,4,3,3 07-26~13,12,5,5,2 07-17~6,3,1,1,1 07-06~1,1,0,0,0 08-10~1,0,0,0,0 07-27~5,4,0,0,0 08-04~3,2,0,0,0 07-31~1,1,0,0,0 07-28~10,10,8,6,4 07-15~7,4,3,3,3 08-01~3,2,0,0,0 07-10~8,8,7,5,5 08-07~1,1,0,0,0 07-23~1,0,0,0,0 07-18~9,8,7,6,4 05-22~1,1,0,0,0 all~108,105,68,57,55
101578548_492625|5|00000001:/es/special-bonus/up-to-200 00000001:/fr/special-bonus/up-to-200 00000002:/de/special-bonus/up-to-200 00000007:/special-bonus/up-to-200 00000027:/pt/special-bonus/up-to-200|05-29~3,2,2,0,0 05-31~8,3,3,2,0 05-25~14,10,5,3,0 06-01~8,6,4,0,0 05-27~1,0,0,0,0 05-26~3,2,1,1,1 06-02~2,2,1,1,0 05-30~2,1,1,1,1 05-14~2,2,1,0,0 05-23~7,7,5,2,0 05-15~2,2,1,0,0 05-24~9,8,7,4,2 all~38,38,33,23,18
101578548_497396|4|00000001:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000001:/es/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000021:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000061:/pt/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|06-25~4,1,1,0,0 08-12~3,2,2,1,0 06-03~17,15,6,2,0 08-13~4,1,1,0,0 06-09~4,3,1,0,0 08-15~1,0,0,0,0 07-09~4,1,1,0,0 07-15~1,1,1,1,1 06-22~1,1,0,0,0 06-05~3,2,2,1,0 08-14~6,4,0,0,0 06-24~1,1,0,0,0 06-12~5,4,3,1,1 all~84,74,54,46,38 06-10~3,3,0,0,0 07-10~1,0,0,0,0 06-04~21,15,8,6,3 06-15~4,4,2,1,0 06-14~3,3,2,2,2 06-26~3,1,1,1,1 08-18~1,0,0,0,0 06-11~2,0,0,0,0 06-08~7,4,2,1,0 08-24~2,2,2,2,0 06-16~4,2,0,0,0 07-17~1,1,0,0,0 06-06~5,3,2,1,0 06-29~2,1,1,1,1 08-17~3,2,1,1,1 07-07~2,1,1,0,0 08-11~13,7,4,3,2 06-18~6,4,2,1,1 07-08~5,5,1,0,0 06-23~1,0,0,0,0 08-10~13,12,10,3,1 06-07~1,1,1,1,0 06-30~1,0,0,0,0 06-20~1,1,1,1,0
101644135_471394|8|00000001:/el/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000001:/it/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000001:/ja/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000005:/pt/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000007:/fr/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000014:/es/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000033:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000241:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|07-16~2,2,1,0,0 08-06~1,1,1,1,0 05-01~2,2,0,0,0 05-24~3,2,2,0,0 05-16~1,1,0,0,0 05-03~1,1,0,0,0 08-25~2,2,2,1,0 07-29~6,4,1,0,0 05-02~4,4,0,0,0 05-08~1,1,0,0,0 06-02~2,2,2,0,0 07-30~3,3,3,0,0 05-23~1,1,1,1,0 05-26~3,3,1,0,0 05-04~4,4,0,0,0 06-30~4,3,3,0,0 06-18~3,3,3,1,0 07-10~2,1,0,0,0 06-17~3,3,3,2,0 08-29~1,1,1,1,0 07-25~1,1,0,0,0 08-15~3,3,1,0,0 08-05~3,3,2,0,0 06-22~2,2,2,1,0 07-26~4,4,1,1,0 06-04~4,3,3,0,0 08-19~4,4,4,1,0 06-27~3,3,2,1,0 05-25~6,5,3,1,0 08-08~8,8,4,0,0 06-07~2,2,2,0,0 06-14~5,5,2,1,0 05-13~6,6,1,0,0 08-22~2,2,2,1,0 07-11~4,4,2,0,0 07-01~1,0,0,0,0 08-07~1,1,0,0,0 06-08~3,3,1,0,0 05-12~3,3,0,0,0 06-03~2,2,1,0,0 06-10~1,1,1,0,0 08-21~1,1,0,0,0 07-14~2,2,2,0,0 08-16~3,3,1,1,0 06-28~2,2,1,0,0 05-20~3,3,2,0,0 06-24~1,1,0,0,0 05-11~9,9,0,0,0 06-12~2,1,0,0,0 07-23~1,1,0,0,0 06-23~3,3,3,1,0 06-26~4,4,4,2,0 07-27~6,6,4,2,0 08-02~5,4,2,0,0 06-05~3,3,3,1,0 06-15~2,2,0,0,0 06-20~2,2,2,1,0 05-05~2,2,0,0,0 05-14~3,3,2,2,0 07-28~6,6,1,1,0 05-15~4,4,2,0,0 05-27~4,4,1,0,0 08-03~2,2,2,0,0 07-06~4,3,0,0,0 06-21~3,3,1,0,0 05-10~5,5,0,0,0 05-09~5,4,0,0,0 05-17~3,3,1,0,0 05-30~1,1,1,1,0 08-24~1,1,0,0,0 07-13~1,1,0,0,0 08-09~5,4,2,2,0 07-17~2,2,1,0,0 07-03~3,3,3,0,0 05-18~4,4,3,2,0 08-10~3,3,2,1,0 06-06~3,3,2,0,0 05-07~2,2,0,0,0 07-20~2,2,1,0,0 07-07~4,4,3,1,0 05-19~2,2,1,0,0 06-01~7,6,0,0,0 08-01~2,2,1,0,0 08-28~1,1,0,0,0 06-16~2,2,1,0,0 07-15~2,2,2,0,0 05-22~5,5,3,0,0 06-25~5,4,3,0,0 08-04~1,0,0,0,0 07-02~3,3,0,0,0 05-06~5,5,0,0,0 08-20~2,2,1,0,0 07-31~1,1,1,0,0 07-22~1,1,1,0,0 08-14~4,4,3,0,0 06-29~3,3,3,1,0 08-17~6,6,4,1,0 05-31~4,4,2,0,0 05-21~5,5,1,0,0 07-09~1,1,0,0,0 07-05~4,4,4,0,0 07-08~5,5,2,1,0 08-23~3,3,2,0,0 07-18~1,1,1,1,0 06-09~4,3,0,0,0 06-19~5,5,4,3,0 all~303,294,151,53,0
101769693_493604|5|00000001:/fr/special-bonus/up-to-200 00000002:/es/special-bonus/up-to-200 00000003:/de/special-bonus/up-to-200 00000006:/special-bonus/up-to-200 00000081:/pt/special-bonus/up-to-200|05-16~7,6,4,2,2 05-24~3,2,0,0,0 05-30~1,1,0,0,0 05-18~3,2,0,0,0 06-01~1,1,0,0,0 06-03~1,0,0,0,0 05-19~10,9,6,2,1 06-10~1,0,0,0,0 06-15~1,1,0,0,0 06-06~2,2,0,0,0 05-17~19,18,12,6,6 06-04~1,0,0,0,0 05-28~2,2,0,0,0 05-21~14,11,6,5,4 05-20~12,10,1,1,1 05-23~22,19,11,7,5 06-20~1,0,0,0,0 06-07~1,0,0,0,0 05-26~8,6,3,2,0 05-27~2,0,0,0,0 05-15~9,9,6,6,5 05-22~9,8,3,1,1 05-29~4,4,3,3,3 05-25~4,2,0,0,0 06-05~2,1,0,0,0 06-17~1,0,0,0,0 06-08~1,0,0,0,0 07-10~4,4,3,1,0 all~93,92,57,42,34
101826048_472512|1|00000024:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|08-23~3,3,1,0,0 07-21~1,1,0,0,0 08-28~1,1,0,0,0 08-25~1,1,0,0,0 05-31~1,1,0,0,0 08-01~1,1,0,0,0 08-11~1,1,0,0,0 07-26~1,1,1,0,0 08-22~1,1,0,0,0 08-14~1,1,0,0,0 05-14~1,1,0,0,0 05-04~1,1,0,0,0 05-20~1,1,0,0,0 07-06~1,1,1,1,0 06-30~1,1,0,0,0 07-22~1,1,0,0,0 05-18~1,1,0,0,0 06-20~1,1,0,0,0 08-29~1,1,1,1,0 05-27~1,1,1,0,0 07-11~1,1,0,0,0 05-01~1,1,0,0,0 08-21~1,1,0,0,0 08-08~1,1,1,0,0 all~24,24,6,2,0
103128376_486395|2|00000001:/de/promotions/welcome-bonus 00000029:/promotions/welcome-bonus|05-26~1,1,1,1,0 05-17~1,1,1,0,0 08-06~1,0,0,0,0 07-07~1,0,0,0,0 08-03~1,0,0,0,0 06-26~1,0,0,0,0 08-18~1,0,0,0,0 05-02~1,1,0,0,0 07-08~2,0,0,0,0 06-25~1,0,0,0,0 05-13~2,0,0,0,0 08-20~1,0,0,0,0 08-27~1,1,0,0,0 06-19~1,0,0,0,0 08-24~1,1,1,1,0 07-10~1,0,0,0,0 05-22~2,0,0,0,0 08-02~1,1,1,1,1 07-17~1,0,0,0,0 05-09~1,0,0,0,0 05-14~2,1,0,0,0 05-18~2,1,1,1,0 05-07~1,0,0,0,0 08-19~1,0,0,0,0 06-27~2,0,0,0,0 07-22~1,0,0,0,0 07-30~1,0,0,0,0 all~30,11,6,4,1
103157756_487754|6|00000002:/fr/crypto-casino 00000002:/ko/crypto-casino 00000003:/es/crypto-casino 00000004:/tr/crypto-casino 00000005:/pt/crypto-casino 00000136:/crypto-casino|07-25~1,0,0,0,0 07-28~3,1,1,1,0 05-25~1,0,0,0,0 05-30~1,0,0,0,0 08-16~3,1,1,1,0 all~152,42,23,19,8 07-03~1,0,0,0,0 07-18~1,1,0,0,0 05-19~2,2,0,0,0 05-09~2,0,0,0,0 05-04~1,0,0,0,0 06-02~1,1,0,0,0 08-02~2,0,0,0,0 06-03~1,0,0,0,0 07-12~1,0,0,0,0 07-23~2,0,0,0,0 06-24~2,1,0,0,0 07-16~1,0,0,0,0 08-26~2,0,0,0,0 06-18~3,0,0,0,0 05-07~2,0,0,0,0 06-08~2,1,0,0,0 06-11~1,1,0,0,0 07-15~1,0,0,0,0 08-20~3,0,0,0,0 07-08~2,1,1,1,0 05-16~1,0,0,0,0 08-21~1,0,0,0,0 07-17~1,0,0,0,0 06-05~1,0,0,0,0 07-05~2,0,0,0,0 06-27~3,2,2,1,1 08-19~2,0,0,0,0 05-01~1,0,0,0,0 08-11~3,0,0,0,0 07-22~4,2,1,0,0 08-05~1,0,0,0,0 05-21~1,0,0,0,0 06-30~2,1,0,0,0 06-23~2,1,0,0,0 07-27~3,1,1,1,0 08-25~2,1,1,1,0 08-22~1,0,0,0,0 05-13~2,2,0,0,0 08-29~3,1,0,0,0 06-21~2,0,0,0,0 07-10~1,0,0,0,0 06-10~5,1,1,1,0 06-15~2,0,0,0,0 08-03~2,0,0,0,0 07-07~1,0,0,0,0 07-14~1,0,0,0,0 08-18~2,0,0,0,0 06-26~3,1,0,0,0 06-13~1,0,0,0,0 08-01~3,1,0,0,0 06-22~3,0,0,0,0 06-06~2,1,0,0,0 08-06~1,0,0,0,0 05-27~4,2,0,0,0 05-26~1,0,0,0,0 05-14~2,1,1,0,0 06-12~1,0,0,0,0 05-23~1,0,0,0,0 07-29~1,0,0,0,0 05-28~1,0,0,0,0 05-03~1,0,0,0,0 08-17~1,1,1,1,0 06-29~2,0,0,0,0 07-20~3,0,0,0,0 06-04~1,0,0,0,0 07-24~3,0,0,0,0 07-30~1,1,1,1,0 08-23~1,0,0,0,0 06-20~5,2,2,1,0 05-05~1,0,0,0,0 06-25~4,1,1,1,1 07-26~4,0,0,0,0 05-11~1,1,0,0,0 06-16~2,0,0,0,0 08-28~2,0,0,0,0 06-09~2,2,1,1,1 07-31~3,1,0,0,0 08-13~1,0,0,0,0 07-02~1,0,0,0,0 07-11~1,1,1,1,1 06-19~1,0,0,0,0 08-27~1,0,0,0,0 08-24~4,1,0,0,0 05-02~1,0,0,0,0 05-12~3,0,0,0,0 08-10~2,1,0,0,0 08-14~2,0,0,0,0 07-04~2,0,0,0,0 07-09~1,0,0,0,0
103157797_487755|3|00000001:/es/crypto-casino 00000001:/fr/crypto-casino 00001187:/crypto-casino|07-22~1,1,1,1,0 05-29~2,0,0,0,0 07-06~93,0,0,0,0 06-12~1,0,0,0,0 06-13~1,0,0,0,0 08-03~9,0,0,0,0 08-10~95,0,0,0,0 08-27~1,1,1,1,0 05-13~2,1,0,0,0 08-15~2,2,0,0,0 08-18~2,0,0,0,0 06-26~1,0,0,0,0 07-19~1,0,0,0,0 05-20~4,2,1,1,0 08-24~196,0,0,0,0 06-15~1,0,0,0,0 06-25~2,1,1,1,0 07-11~1,1,0,0,0 05-15~4,0,0,0,0 07-13~87,0,0,0,0 05-16~1,0,0,0,0 08-23~1,0,0,0,0 06-02~5,1,1,0,0 07-28~1,0,0,0,0 08-17~186,0,0,0,0 06-29~81,0,0,0,0 05-28~2,0,0,0,0 05-19~3,1,1,0,0 06-03~3,0,0,0,0 07-03~1,0,0,0,0 07-12~1,0,0,0,0 07-09~1,0,0,0,0 05-14~6,0,0,0,0 05-31~1,0,0,0,0 07-04~2,1,0,0,0 06-24~1,0,0,0,0 06-04~1,0,0,0,0 05-30~2,0,0,0,0 06-01~1,0,0,0,0 08-26~1,0,0,0,0 07-07~1,0,0,0,0 06-21~1,1,0,0,0 07-27~96,0,0,0,0 08-11~91,0,0,0,0 05-17~4,0,0,0,0 07-20~87,0,0,0,0 08-07~1,0,0,0,0 06-22~92,0,0,0,0 05-02~1,0,0,0,0 08-19~1,0,0,0,0 05-10~1,1,0,0,0 07-18~1,1,0,0,0 05-07~1,0,0,0,0 07-21~1,0,0,0,0 06-28~1,0,0,0,0 06-17~1,0,0,0,0 06-30~1,0,0,0,0 05-08~4,0,0,0,0 all~1189,18,9,6,1
103600904_493485|2|00000002:/special-bonus/up-to-200 00000493:/de/special-bonus/up-to-200|05-31~18,18,0,0,0 05-19~23,23,0,0,0 05-17~13,13,0,0,0 06-01~5,5,0,0,0 05-26~18,18,0,0,0 05-11~25,25,0,0,0 05-12~26,26,0,0,0 05-18~20,20,0,0,0 05-09~31,31,0,0,0 05-21~17,17,0,0,0 05-30~21,21,0,0,0 05-16~20,20,0,0,0 05-29~26,26,0,0,0 05-24~34,34,0,0,0 05-07~2,2,0,0,0 05-13~22,22,0,0,0 05-14~19,19,1,0,0 05-15~26,26,2,1,1 05-25~28,28,0,0,0 05-28~15,15,0,0,0 05-08~3,3,0,0,0 05-23~32,32,0,0,0 05-22~16,16,0,0,0 05-10~22,22,0,0,0 05-20~17,16,0,0,0 all~495,494,3,1,1
103972272_494526|2|00000002:/special-bonus/up-to-200 00000018:/de/special-bonus/up-to-200|05-25~1,0,0,0,0 07-01~1,0,0,0,0 06-26~1,1,0,0,0 05-13~1,1,1,0,0 05-22~15,15,11,5,0 05-26~1,0,0,0,0 05-21~1,1,1,1,0 05-30~1,1,0,0,0 05-20~1,1,0,0,0 06-02~1,0,0,0,0 05-14~2,2,2,0,0 05-23~1,0,0,0,0 all~20,20,15,7,0
